,Id_block,valence_elal,arousal_elal,dominance_elal,anger_elal,disgust_elal,fear_elal,joy_elal,sadness_elal,surprise_elal,valence_feel,arousal_feel,dominance_feel,anger_feel,disgust_feel,fear_feel,joy_feel,sadness_feel,surprise_feel
Id_block,1.000,-0.137,0.020,-0.117,0.168,0.094,0.097,-0.064,0.075,0.162,-0.141,0.155,-0.134,0.185,0.143,0.156,0.013,0.160,0.123
valence_elal,-0.137,1.000,-0.121,0.556,-0.451,-0.421,-0.506,0.346,-0.338,-0.185,0.507,-0.171,0.281,-0.326,-0.327,-0.140,0.148,-0.099,0.015
arousal_elal,0.020,-0.121,1.000,0.179,0.233,0.244,0.401,-0.051,0.299,0.221,-0.098,0.231,0.065,0.020,-0.044,-0.028,0.140,0.065,0.007
dominance_elal,-0.117,0.556,0.179,1.000,-0.222,-0.106,-0.065,0.114,-0.007,-0.040,0.350,-0.007,0.398,-0.281,-0.322,-0.111,0.024,-0.114,0.075
anger_elal,0.168,-0.451,0.233,-0.222,1.000,0.487,0.466,-0.203,0.424,0.316,-0.330,0.186,-0.150,0.254,0.294,0.097,-0.080,0.135,-0.022
disgust_elal,0.094,-0.421,0.244,-0.106,0.487,1.000,0.733,-0.137,0.717,0.273,-0.278,0.106,-0.190,0.087,0.258,0.109,-0.082,0.178,-0.089
fear_elal,0.097,-0.506,0.401,-0.065,0.466,0.733,1.000,-0.186,0.684,0.267,-0.311,0.165,-0.086,0.123,0.202,0.196,-0.084,0.207,0.003
joy_elal,-0.064,0.346,-0.051,0.114,-0.203,-0.137,-0.186,1.000,-0.079,-0.116,0.222,-0.073,-0.079,-0.084,-0.030,-0.007,0.049,-0.066,0.229
sadness_elal,0.075,-0.338,0.299,-0.007,0.424,0.717,0.684,-0.079,1.000,0.289,-0.316,0.123,-0.154,0.145,0.226,0.155,-0.022,0.306,-0.054
surprise_elal,0.162,-0.185,0.221,-0.040,0.316,0.273,0.267,-0.116,0.289,1.000,-0.096,0.112,-0.027,0.059,0.068,0.033,-0.046,0.046,0.005
valence_feel,-0.141,0.507,-0.098,0.350,-0.330,-0.278,-0.311,0.222,-0.316,-0.096,1.000,-0.407,0.494,-0.652,-0.542,-0.375,0.152,-0.528,0.082
arousal_feel,0.155,-0.171,0.231,-0.007,0.186,0.106,0.165,-0.073,0.123,0.112,-0.407,1.000,0.072,0.468,0.195,0.388,0.007,0.280,0.122
dominance_feel,-0.134,0.281,0.065,0.398,-0.150,-0.190,-0.086,-0.079,-0.154,-0.027,0.494,0.072,1.000,-0.325,-0.388,-0.236,-0.038,-0.216,-0.071
anger_feel,0.185,-0.326,0.020,-0.281,0.254,0.087,0.123,-0.084,0.145,0.059,-0.652,0.468,-0.325,1.000,0.617,0.494,-0.089,0.361,0.030
disgust_feel,0.143,-0.327,-0.044,-0.322,0.294,0.258,0.202,-0.030,0.226,0.068,-0.542,0.195,-0.388,0.617,1.000,0.398,-0.156,0.498,0.045
fear_feel,0.156,-0.140,-0.028,-0.111,0.097,0.109,0.196,-0.007,0.155,0.033,-0.375,0.388,-0.236,0.494,0.398,1.000,-0.090,0.474,0.427
joy_feel,0.013,0.148,0.140,0.024,-0.080,-0.082,-0.084,0.049,-0.022,-0.046,0.152,0.007,-0.038,-0.089,-0.156,-0.090,1.000,-0.016,-0.097
sadness_feel,0.160,-0.099,0.065,-0.114,0.135,0.178,0.207,-0.066,0.306,0.046,-0.528,0.280,-0.216,0.361,0.498,0.474,-0.016,1.000,-0.000
surprise_feel,0.123,0.015,0.007,0.075,-0.022,-0.089,0.003,0.229,-0.054,0.005,0.082,0.122,-0.071,0.030,0.045,0.427,-0.097,-0.000,1.000
